"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","赎回状态"
"113565.SH","宏辉转债","2024-04-02","110.747","111.047","110.036","110.496","-0.0018067500180675156","0.006898185707833626","宏辉果蔬","4.32","4.23","4.3","0.004672897196261516","0.04622871070214973","6797","751.0821","0.13024105478832165","0.3693167638598171","0.006261","73.5042735042735","0.503259534883721","0.49457741515513554","0.008682119728585458","105.66971279449433","0.045673325666095055","8.055760558647462","113.7254733531418","-0.029227061189018633","160.8219534883721","2.24698","2.4828230207999997","0.03025113323453844","2.1961","83.1521","2.1796","24.52647842","24.52647842","0.3453753559316341","0.10123031029091374","1479","2026-02-25","1.904109589041096","0.019121013481261388","1.3","AA-","8","民营企业","广东","农林牧渔","农业","农产品加工","0/15 | 30"
"113566.SH","翔港转债","2024-04-02","220","247.9","209.563","215.23","-0.003947557188672901","-0.10797324304316547","翔港科技","25.85","23.05","23.56","0.002553191489361728","-0.11991034705276127","904275","208055.2708","0.42601304432807485","0.5269478793172321","0.001647","219.36685288640595","-0.018858149405772462","0.002798279729196588","-0.02165642913496905","106.31662091468556","1.0244247620765963","130.00019729966127","236.31681821434682","-0.09797341548272476","213.34418505942276","0.6124176218","1.3181064474001398","15.784405820210686","7.6409","266.1279","6.9632","48.86684701","48.86684701","0.3110939489124336","0.026973429391309114","1464","2026-02-27","1.9095890410958904","-0.27035082996372894","1.2","A+","8-","民营企业","上海","轻工制造","造纸印刷","包装印刷","已公告强赎"
"113569.SH","科达转债","2024-04-02","117","117.023","115.48","115.723","-0.013225437863465084","-0.0005095782482404942","苏州科达","7.69","7.3","7.4","-0.043927648578811374","-0.05006418417709413","42965","4992.2398","0.2837030014993983","0.5912593234770452","0","85.25345622119816","0.3573995135135133","0.325995443390876","0.031404070122637295","103.31234829443864","0.12012747663223378","23.884708065560122","127.19705635999875","-0.09915104482253967","151.46295135135134","5.13729","5.945026106699999","0.08397338733927145","3.8645","","2.4186","36.579717959999996","37.22237836","0.6491292593453564","0.15971644931449777","1456","2026-03-08","1.9342465753424658","0.005749190969504075","1.3","A+","8","民营企业","江苏","信息技术","计算机硬件","专用计算机设备","0/15 | 30"
"113573.SH","纵横转债","2024-04-02","119","119.599","117.693","118.26","-0.005223711106064011","0.0037941483810148835","纵横通信","14.4","13.89","14.08","-0.02018093249826025","0.037582903859268546","3527","417.4006","0.08920844739833544","0.3269815103137423","0.003519","75.53648068669527","0.5656011363636366","0.46017553879201095","0.10542559757162567","107.45547364243663","0.10054886913919314","7.707680685191485","115.16315432762812","0.026186755220462432","174.82011363636366","2.69818","3.190867668","0.01308110029713711","3.719","97.11","2.3798","28.96774017","28.96774017","0.5189612671976713","0.11015245404971472","1412","2026-04-16","2.041095890410959","0.017042197193269375","1.3","A+","8","民营企业","浙江","信息技术","通信设备","通信配套服务","0/15 | 30"
"113574.SH","华体转债","2024-04-02","169","172","142.222","150.451","-0.11892784567724102","0.34531658485580596","华体科技","18.61","18.61","18.61","0.09988179669030717","0.6112554124152791","832025","131943.6122","0.3592366134306227","0.5518633622407938","0","60.5991533702377","1.4827244545943041","0.7817481518625868","0.7009763027317173","98.67350576683502","0.5247355288613635","9.83562376827743","108.50912953511245","0.2787742884054446","298.7234454594304","2.0856704226","3.1379120075059257","4.204821928861905","3.4576","","4.8493","30.36819179","30.36819179","0.3966972543359533","0.10332890509928928","1437","2026-03-30","1.9945205479452055","-0.13812418968410733","1.3","A+","8-","民营企业","四川","家电","照明设备","照明设备","0/15 | 30"
"113575.SH","东时转债","2024-04-02","157.299","158.2","155.622","156.781","-0.0018780717614402809","0.008173107862607498","东方时尚","3.97","3.75","3.84","-0.01285347043701801","-0.08353221906542718","45412","7126.9476","0.46889804881134234","0.53810788802874","0","31.604938271604937","3.9606488281250005","2.186695780796822","1.7739530473281784","102.4705553337568","0.5300102501577031","1.3144890491458006","103.78504438290261","0.3380253705302134","552.8458828125001","0.98183","1.5393228923000002","0.4629923738320538","1.2396","","2.7981","27.67700114","27.67700114","0.49460775553147024","0.05561740177389754","1434","2026-04-08","2.0191780821917806","-0.1583483015377453","1.3","AA-","8","民营企业","北京","交运设备","汽车","汽车服务","0/15 | 30"
"113576.SH","起步转债","2024-04-02","102.972","103.372","102.121","102.849","-0.0005247660418064015","-0.0024345295619510043","ST起步","1.53","1.46","1.51","0.01342281879194629","0.027210884462307572","9929","1018.9942","0.2648227766587205","0.3629629704621275","0","58.07692307692307","0.7709099337748346","0.8549240396878828","-0.08401410591304814","65.85733387430558","0.5616939519036137","3.3491790398254646","69.20651291413104","0.32710563141954674","179.93999337748346","1.49731","1.5399683619","0.06616981395272131","1.6946","","3.5172","8.13398809","8.13398809","0.6957321306174747","0.18932513114855076","1427","2026-04-09","2.021917808219178","0.07843740937145112","1.3","B-","9","民营企业","浙江","纺织服装","服装家纺","服饰辅料","0/15 | 30"
"113577.SH","春秋转债","2024-04-02","127.404","127.6","125.523","125.962","-0.01131832595522897","0.0013434772058729116","春秋电子","9.9","9.38","9.47","-0.04439959636730573","0.002116403068102457","10874","1375.112","0.22993322048908885","0.5416567898920731","0.01034","88.92018779342725","0.4165737064413937","0.28623137132889953","0.13034233511249416","106.55549289908102","0.18212582545415046","24.520526450473863","131.07601934955488","-0.04059969950901765","167.61937064413937","1.7772","2.238596664","0.06142741218701289","1.6125","","1.3267","41.57740752","41.57740752","0.499914182673798","0.05384166059231006","1421","2026-04-13","2.032876712328767","-0.04067349410198676","1.3","AA-","7","民营企业","江苏","电子设备","电子设备制造","电子设备制造","0/15 | 30"
"113579.SH","健友转债","2024-04-02","108.607","109.814","108.551","109.245","0.006430394207117773","0.0076464728593734765","健友股份","11.9","11.15","11.65","0.03647686832740216","0.03463587941913149","5008","547.4416","0.10720734585849137","0.3186073374037406","0.009871","47.473512632436844","1.301177939914163","1.245366172483976","0.05581176743018701","106.55333632025159","0.025261186300713057","0.8264121405481389","107.37974846079973","0.017074022053185756","239.3627939914163","5.025","5.48956125","0.00997241081880633","2.7775","18.4088","4.7042","188.22133619","188.33957169","0.3862301712887497","0.029147147361233333","1412","2026-04-22","2.0575342465753423","0.01380540590962669","1.3","AA","6-","中外合资经营企业","江苏","医药生物","化学制药","化学原料药","0/15 | 30"
"113582.SH","火炬转债","2024-04-02","121.4","121.7","119.769","120.107","-0.010267566520811178","-0.015136978883601881","火炬电子","21.99","21.3","21.47","-0.014685635612666337","0.012735849451837922","9049","1089.4566","0.32826696862111093","0.36117526623250884","0.016255","88.90269151138716","0.35099396832789953","0.2864090924257139","0.06458487590218565","107.21138714528925","0.12028211926066268","16.202238717139835","123.41362586242909","-0.02753066734186249","155.20639683278995","4.17261","5.0115966926999995","0.021738712566135382","1.8419","30.9459","2.8121","98.52578599","98.52578599","0.2096380557626631","0.05086583824064756","1380","2026-05-26","2.1506849315068495","-0.027317083662805355","1.3","AA","6-","民营企业","福建","电子设备","电子元件","电子元件","0/15 | 30"
